模型,数据集,训练集数据量,ACC,F1,Sensitivity,Specificity,best_epoch,checkpoint,status,error
XGBoost,UKB,10,0.501,0.191,0.118,0.884,,,ok,
XGBoost,UKB,50,0.517,0.130,0.072,0.962,,,ok,
XGBoost,UKB,100,0.565,0.276,0.166,0.964,,,ok,
XGBoost,UKB,500,0.551,0.263,0.160,0.942,,,ok,
XGBoost,UKB,1000,0.535,0.202,0.118,0.952,,,ok,
XGBoost,UKB,3000,0.588,0.360,0.232,0.944,,,ok,
XGBoost,YHD,10,0.534,0.197,0.114,0.954,,,ok,
XGBoost,YHD,50,0.592,0.380,0.250,0.934,,,ok,
XGBoost,YHD,100,0.607,0.428,0.294,0.920,,,ok,
XGBoost,YHD,500,0.720,0.649,0.518,0.922,,,ok,
XGBoost,YHD,1000,0.700,0.604,0.458,0.942,,,ok,
XGBoost,YHD,3000,0.740,0.680,0.552,0.928,,,ok,
LightGBM,UKB,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,UKB,50,0.532,0.215,0.128,0.936,,,ok,
LightGBM,UKB,100,0.552,0.261,0.158,0.946,,,ok,
LightGBM,UKB,500,0.557,0.282,0.174,0.940,,,ok,
LightGBM,UKB,1000,0.529,0.181,0.104,0.954,,,ok,
LightGBM,UKB,3000,0.586,0.359,0.232,0.940,,,ok,
LightGBM,YHD,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,YHD,50,0.581,0.428,0.314,0.848,,,ok,
LightGBM,YHD,100,0.571,0.357,0.238,0.904,,,ok,
LightGBM,YHD,500,0.711,0.636,0.506,0.916,,,ok,
LightGBM,YHD,1000,0.697,0.601,0.456,0.938,,,ok,
LightGBM,YHD,3000,0.734,0.665,0.528,0.940,,,ok,
DecisionTree,UKB,10,0.519,0.450,0.394,0.644,,,ok,
DecisionTree,UKB,50,0.528,0.318,0.220,0.836,,,ok,
DecisionTree,UKB,100,0.538,0.209,0.122,0.954,,,ok,
DecisionTree,UKB,500,0.539,0.335,0.232,0.846,,,ok,
DecisionTree,UKB,1000,0.550,0.378,0.274,0.826,,,ok,
DecisionTree,UKB,3000,0.563,0.412,0.306,0.820,,,ok,
DecisionTree,YHD,10,0.547,0.284,0.180,0.914,,,ok,
DecisionTree,YHD,50,0.602,0.500,0.398,0.806,,,ok,
DecisionTree,YHD,100,0.655,0.548,0.418,0.892,,,ok,
DecisionTree,YHD,500,0.642,0.555,0.446,0.838,,,ok,
DecisionTree,YHD,1000,0.660,0.574,0.458,0.862,,,ok,
DecisionTree,YHD,3000,0.655,0.551,0.424,0.886,,,ok,
MLP,UKB,10,0.499,0.004,0.002,0.996,,,ok,
MLP,UKB,50,0.519,0.124,0.068,0.970,,,ok,
