模型,数据集,训练集数据量,ACC,F1,Sensitivity,Specificity,best_epoch,checkpoint,status,error
XGBoost,UKB,10,0.559,0.532,0.502,0.616,,,ok,
XGBoost,UKB,50,0.603,0.560,0.506,0.700,,,ok,
XGBoost,UKB,100,0.564,0.551,0.534,0.594,,,ok,
XGBoost,UKB,500,0.640,0.630,0.612,0.668,,,ok,
XGBoost,UKB,1000,0.626,0.615,0.598,0.654,,,ok,
XGBoost,UKB,3000,0.689,0.678,0.656,0.722,,,ok,
XGBoost,YHD,10,0.447,0.346,0.292,0.602,,,ok,
XGBoost,YHD,50,0.663,0.672,0.692,0.634,,,ok,
XGBoost,YHD,100,0.716,0.723,0.740,0.692,,,ok,
XGBoost,YHD,500,0.746,0.744,0.740,0.752,,,ok,
XGBoost,YHD,1000,0.779,0.784,0.804,0.754,,,ok,
XGBoost,YHD,3000,0.781,0.753,0.666,0.896,,,ok,
LightGBM,UKB,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,UKB,50,0.595,0.563,0.522,0.668,,,ok,
LightGBM,UKB,100,0.550,0.541,0.530,0.570,,,ok,
LightGBM,UKB,500,0.632,0.628,0.620,0.644,,,ok,
LightGBM,UKB,1000,0.626,0.614,0.596,0.656,,,ok,
LightGBM,UKB,3000,0.709,0.701,0.682,0.736,,,ok,
LightGBM,YHD,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,YHD,50,0.585,0.610,0.650,0.520,,,ok,
LightGBM,YHD,100,0.687,0.696,0.718,0.656,,,ok,
LightGBM,YHD,500,0.750,0.747,0.740,0.760,,,ok,
LightGBM,YHD,1000,0.784,0.784,0.786,0.782,,,ok,
LightGBM,YHD,3000,0.774,0.739,0.640,0.908,,,ok,
DecisionTree,UKB,10,0.586,0.593,0.602,0.570,,,ok,
DecisionTree,UKB,50,0.580,0.563,0.542,0.618,,,ok,
DecisionTree,UKB,100,0.496,0.498,0.500,0.492,,,ok,
DecisionTree,UKB,500,0.563,0.543,0.520,0.606,,,ok,
DecisionTree,UKB,1000,0.532,0.526,0.520,0.544,,,ok,
DecisionTree,UKB,3000,0.615,0.617,0.620,0.610,,,ok,
DecisionTree,YHD,10,0.540,0.370,0.270,0.810,,,ok,
DecisionTree,YHD,50,0.654,0.622,0.570,0.738,,,ok,
DecisionTree,YHD,100,0.693,0.691,0.686,0.700,,,ok,
DecisionTree,YHD,500,0.662,0.656,0.644,0.680,,,ok,
DecisionTree,YHD,1000,0.666,0.662,0.654,0.678,,,ok,
DecisionTree,YHD,3000,0.678,0.629,0.546,0.810,,,ok,
MLP,UKB,10,0.589,0.605,0.630,0.548,,,ok,
MLP,UKB,50,0.546,0.454,0.378,0.714,,,ok,
MLP,UKB,100,0.506,0.543,0.586,0.426,,,ok,
MLP,UKB,500,0.605,0.618,0.640,0.570,,,ok,
MLP,UKB,1000,0.577,0.588,0.604,0.550,,,ok,
MLP,UKB,3000,0.637,0.635,0.632,0.642,,,ok,
MLP,YHD,10,0.464,0.402,0.360,0.568,,,ok,
MLP,YHD,50,0.651,0.642,0.626,0.676,,,ok,
MLP,YHD,100,0.628,0.619,0.604,0.652,,,ok,
MLP,YHD,500,0.754,0.754,0.756,0.752,,,ok,
