rank,feature,feature_type,n_valid,method,statistic,p_value,direction,missing_rate,pointbiserial_r,mwu_p,binned_or_q4_rel_to_q1
1,Respiratory_failure,binary,4087,chi2,922.3482565815505,1.3603288062507397e-202,,0.0,,,
2,SOFA,continuous,4087,pointbiserial,0.2993048802241188,2.328960072827848e-85,pos,0.0,0.2993048802241188,3.1475593959134903e-75,Q1=1.00; Q2=1.51; Q3=2.72; Q4=5.55
3,resp_rate,continuous,4087,mwu,,8.945602762560763e-62,pos,0.0,0.22435459166633603,8.945602762560763e-62,Q1=1.00; Q2=1.84; Q3=2.14; Q4=4.34
4,sepsis,binary,4087,chi2,259.1987557230251,2.5654837983092888e-58,,0.0,,,
5,Kidney_failure,binary,4087,chi2,146.89307362434673,8.281441160897071e-34,,0.0,,,
6,Urea_Nitrogen,continuous,4087,mwu,,3.973861069473145e-33,pos,0.0,0.0445953168505822,3.973861069473145e-33,Q1=1.00; Q2=1.53; Q3=2.09; Q4=3.19
7,heart_rate,continuous,4087,mwu,,7.778170231719865e-23,pos,0.0,0.14362805467464765,7.778170231719865e-23,Q1=1.00; Q2=1.12; Q3=2.26; Q4=2.38
8,Malignancy,binary,4087,chi2,65.23909722031951,6.634020781388063e-16,,0.0,,,
9,age,continuous,4087,mwu,,1.084416748634462e-12,pos,0.0,0.10640162350412147,1.084416748634462e-12,Q1=1.00; Q2=0.74; Q3=0.93; Q4=1.81
10,Solidtumors,binary,4087,chi2,50.6845608433528,1.0846947465226381e-12,,0.0,,,
11,inr,continuous,4087,pointbiserial,0.11055113625874462,1.3698574250614667e-12,pos,0.0,0.11055113625874462,8.587944321452776e-06,Q1=1.00; Q2=0.65; Q3=0.89; Q4=1.36
12,temperature,continuous,4087,pointbiserial,0.10482403531634513,1.844535390382758e-11,pos,0.0,0.10482403531634513,3.3739231626644297e-09,Q1=1.00; Q2=1.12; Q3=1.31; Q4=1.66
13,ICH,binary,4087,chi2,43.34926136578805,4.5790906034781546e-11,,0.0,,,
14,Magnesium,continuous,4087,mwu,,1.7855921137038697e-10,pos,0.0,0.03194973952716623,1.7855921137038697e-10,Q1=1.00; Q2=1.58; Q3=1.64; Q4=1.84
15,Chloride,continuous,4087,mwu,,4.515071963199813e-10,neg,0.0,-0.033635207805468595,4.515071963199813e-10,Q1=1.00; Q2=0.48; Q3=0.50; Q4=0.55
16,bicarbonate,continuous,4087,mwu,,1.0801568466497555e-09,neg,0.0,-0.08654777561272395,1.0801568466497555e-09,Q1=1.00; Q2=0.50; Q3=0.39; Q4=0.58
17,Cerebral_infarction,binary,4087,chi2,32.711222629745194,1.0691812234089096e-08,,0.0,,,
18,ARDS,binary,4087,chi2,32.59856224274042,1.132985306987758e-08,,0.0,,,
19,wbc,continuous,4087,pointbiserial,0.07606036428294265,1.1268901609253823e-06,pos,0.0,0.07606036428294265,1.532203090658025e-05,Q1=1.00; Q2=0.88; Q3=1.13; Q4=1.43
20,Hepatic_failure,binary,4087,chi2,23.00705951245266,1.6140760567323863e-06,,0.0,,,
21,Potassium,continuous,4087,mwu,,0.00019768382322269852,neg,0.0,-0.011066076675715525,0.00019768382322269852,Q1=1.00; Q2=0.61; Q3=0.66; Q4=0.72
22,Ccoronaryheart_disease,binary,4087,chi2,12.057634150678789,0.0005158071133022107,,0.0,,,
23,Hypertension,binary,4087,chi2,12.000264075092772,0.0005319301263891433,,0.0,,,
24,dbp,continuous,4087,pointbiserial,0.04938312689999783,0.001588517365546208,pos,0.0,0.04938312689999783,0.007158812636840167,Q1=1.00; Q2=0.87; Q3=1.08; Q4=1.21
25,Diabetes,binary,4087,chi2,7.712623376691021,0.0054836004304554585,,0.0,,,
26,Sodium,continuous,4087,pointbiserial,0.041719699718745666,0.00764244338638885,pos,0.0,0.041719699718745666,0.17912531805986887,Q1=1.00; Q2=0.67; Q3=0.66; Q4=1.16
27,gender,binary,4087,chi2,5.056382832404023,0.024535395444156657,,0.0,,,
28,caclium,continuous,4087,pointbiserial,0.027649157193620797,0.07716158384981585,pos,0.0,0.027649157193620797,0.8322728524374039,Q1=1.00; Q2=0.96; Q3=0.87; Q4=1.04
29,Cirrhosis,binary,4087,chi2,2.5903696329561363,0.10751524206667541,,0.0,,,
30,Fatty_liver,binary,4087,chi2,2.3468646066064824,0.12553527273001008,,0.0,,,
31,platelet,continuous,4087,mwu,,0.295721142521017,pos,0.0,0.00640310474089241,0.295721142521017,Q1=1.00; Q2=0.70; Q3=1.00; Q4=1.07
32,hemoglobin,continuous,4087,mwu,,0.3164182464755835,pos,0.0,0.005036374217535554,0.3164182464755835,Q1=1.00; Q2=0.64; Q3=0.63; Q4=1.15
33,COPD,binary,4087,chi2,0.5558131725456039,0.4559521150884245,,0.0,,,
34,Hyperlipidaemia,binary,4087,chi2,0.4379513012701398,0.5081129360156011,,0.0,,,
35,Acute_pancreatitis,binary,4087,chi2,0.2220429881371563,0.6374876536147107,,0.0,,,
36,mbp,continuous,4087,pointbiserial,0.006556151790809131,0.6752097188604138,pos,0.0,0.006556151790809131,0.9489354345735456,Q1=1.00; Q2=0.95; Q3=0.74; Q4=1.08
