rank,feature,feature_type,n_valid,method,statistic,p_value,direction,missing_rate,pointbiserial_r,mwu_p,binned_or_q4_rel_to_q1
1,Respiratory_failure,binary,4087,chi2,882.9691851025677,4.94486484177774e-194,,0.0,,,
2,SOFA,continuous,4087,pointbiserial,0.3185603784457101,4.697972506368966e-97,pos,0.0,0.3185603784457101,2.242439246464354e-88,Q1=1.00; Q2=1.61; Q3=3.33; Q4=6.33
3,sepsis,binary,4087,chi2,276.2226443700117,4.997663702798512e-62,,0.0,,,
4,resp_rate,continuous,4087,mwu,,1.946559883780752e-59,pos,0.0,0.21244802678099997,1.946559883780752e-59,Q1=1.00; Q2=2.04; Q3=2.43; Q4=4.32
5,Kidney_failure,binary,4087,chi2,162.99055892024643,2.5135284920755143e-37,,0.0,,,
6,Urea_Nitrogen,continuous,4087,mwu,,2.5572443587606427e-29,pos,0.0,0.0481405936776763,2.5572443587606427e-29,Q1=1.00; Q2=1.53; Q3=1.91; Q4=2.95
7,heart_rate,continuous,4087,mwu,,8.632009643845297e-21,pos,0.0,0.13535917318000232,8.632009643845297e-21,Q1=1.00; Q2=1.10; Q3=2.30; Q4=2.15
8,age,continuous,4087,mwu,,4.716581739399698e-20,pos,0.0,0.13722900470323002,4.716581739399698e-20,Q1=1.00; Q2=0.81; Q3=0.96; Q4=2.14
9,bicarbonate,continuous,4087,mwu,,1.5168058790850882e-14,neg,0.0,-0.10668281462066168,1.5168058790850882e-14,Q1=1.00; Q2=0.46; Q3=0.34; Q4=0.50
10,inr,continuous,4087,pointbiserial,0.10994886252452246,1.8122208367458579e-12,pos,0.0,0.10994886252452246,3.535158756567042e-06,Q1=1.00; Q2=0.65; Q3=0.88; Q4=1.36
11,Cerebral_infarction,binary,4087,chi2,48.65827937276903,3.046793584263473e-12,,0.0,,,
12,Solidtumors,binary,4087,chi2,44.30174074494862,2.8146582542755175e-11,,0.0,,,
13,Malignancy,binary,4087,chi2,43.753688232036424,3.7241403437797153e-11,,0.0,,,
14,ICH,binary,4087,chi2,39.6338111777264,3.0633354543554113e-10,,0.0,,,
15,Chloride,continuous,4087,mwu,,6.601536292147384e-10,neg,0.0,-0.03593333439503717,6.601536292147384e-10,Q1=1.00; Q2=0.52; Q3=0.52; Q4=0.54
16,Magnesium,continuous,4087,mwu,,1.3582955033758538e-08,pos,0.0,0.035115292957315365,1.3582955033758538e-08,Q1=1.00; Q2=1.56; Q3=1.57; Q4=1.76
17,Hepatic_failure,binary,4087,chi2,29.225563902274516,6.442358955709828e-08,,0.0,,,
18,temperature,continuous,4087,pointbiserial,0.07860762655659617,4.863836444224114e-07,pos,0.0,0.07860762655659617,7.87716982245896e-06,Q1=1.00; Q2=1.12; Q3=1.28; Q4=1.47
19,Hypertension,binary,4087,chi2,22.825583142569048,1.7738862877407498e-06,,0.0,,,
20,Potassium,continuous,4087,mwu,,7.048609363876513e-05,neg,0.0,-0.010447147064188133,7.048609363876513e-05,Q1=1.00; Q2=0.69; Q3=0.64; Q4=0.74
21,wbc,continuous,4087,pointbiserial,0.056677433469003786,0.0002887667693663965,pos,0.0,0.056677433469003786,0.010610892545273943,Q1=1.00; Q2=0.90; Q3=0.99; Q4=1.28
22,Ccoronaryheart_disease,binary,4087,chi2,13.097811579059329,0.0002956409472901748,,0.0,,,
23,Diabetes,binary,4087,chi2,12.563959207563801,0.0003932577022721982,,0.0,,,
24,ARDS,binary,4087,chi2,10.62997961896723,0.001112689411767195,,0.0,,,
25,mbp,continuous,4087,mwu,,0.060157373513386625,neg,0.0,-0.025605744787509894,0.060157373513386625,Q1=1.00; Q2=0.91; Q3=0.86; Q4=0.89
26,hemoglobin,continuous,4087,pointbiserial,-0.02358708630956269,0.13164089623628536,neg,0.0,-0.02358708630956269,0.18584215874310706,Q1=1.00; Q2=0.62; Q3=0.54; Q4=0.93
27,dbp,continuous,4087,pointbiserial,0.021494687447916806,0.16947701543709662,pos,0.0,0.021494687447916806,0.3979619159977279,Q1=1.00; Q2=0.87; Q3=1.13; Q4=1.05
28,gender,binary,4087,chi2,1.8266296504563901,0.17652615361527976,,0.0,,,
29,Fatty_liver,binary,4087,chi2,1.681095534264082,0.1947789453727934,,0.0,,,
30,caclium,continuous,4087,mwu,,0.23604982716900824,pos,0.0,0.017664880132788472,0.23604982716900824,Q1=1.00; Q2=1.06; Q3=0.77; Q4=0.98
31,Cirrhosis,binary,4087,chi2,1.3899370563273652,0.2384157295935889,,0.0,,,
32,platelet,continuous,4087,pointbiserial,-0.012964952587514149,0.4073159841722022,neg,0.0,-0.012964952587514149,0.7968821819247269,Q1=1.00; Q2=0.71; Q3=0.89; Q4=0.97
33,Acute_pancreatitis,binary,4087,chi2,0.14831963809675414,0.7001463719971066,,0.0,,,
34,COPD,binary,4087,chi2,0.038771812337121764,0.8439014172182118,,0.0,,,
35,Sodium,continuous,4087,pointbiserial,-0.0027741765217382665,0.8592741476432707,neg,0.0,-0.0027741765217382665,0.9920181913077776,Q1=1.00; Q2=0.63; Q3=0.64; Q4=1.04
36,Hyperlipidaemia,binary,4087,chi2,0.005976313779016566,0.9383796232144502,,0.0,,,
