rank,feature,feature_type,n_valid,method,statistic,p_value,direction,missing_rate,pointbiserial_r,mwu_p,binned_or_q4_rel_to_q1
1,Respiratory_failure,binary,500,chi2,164.8445853547484,9.891452325709224e-38,,0.0,,,
2,age,continuous,500,mwu,,2.6397848621102123e-16,pos,0.0,0.3521866555212368,2.6397848621102123e-16,Q1=1.00; Q2=1.22; Q3=0.78; Q4=16.26
3,sepsis,binary,500,chi2,46.8264096696591,7.756112316055935e-12,,0.0,,,
4,wbc,continuous,500,mwu,,4.052822982443948e-07,neg,0.0,-0.18709604766761376,4.052822982443948e-07,Q1=1.00; Q2=0.42; Q3=0.40; Q4=0.24
5,SOFA,continuous,500,mwu,,1.0054864939720952e-06,pos,0.0,0.1985180464452967,1.0054864939720952e-06,Q1=1.00; Q2=3.28; Q3=3.51; Q4=3.59
6,Cerebral_infarction,binary,500,chi2,13.934120046812046,0.00018933029447622328,,0.0,,,
7,gender,binary,500,chi2,13.683137418762879,0.00021638878110325296,,0.0,,,
8,hemoglobin,continuous,500,mwu,,0.0014213954506934836,neg,0.0,-0.10199859820089018,0.0014213954506934836,Q1=1.00; Q2=1.06; Q3=0.73; Q4=0.47
9,mbp,continuous,500,mwu,,0.0021489948147517483,neg,0.0,-0.13682247969238054,0.0021489948147517483,Q1=1.00; Q2=1.32; Q3=0.84; Q4=0.50
10,ICH,binary,500,chi2,8.936104980935438,0.0027958827948121297,,0.0,,,
11,Sodium,continuous,500,mwu,,0.0056746041733716,neg,0.0,-0.10264588019138687,0.0056746041733716,Q1=1.00; Q2=0.59; Q3=0.54; Q4=0.51
12,Magnesium,continuous,500,mwu,,0.008116504093210682,pos,0.0,0.07213054987473994,0.008116504093210682,Q1=1.00; Q2=1.65; Q3=1.15; Q4=2.09
13,dbp,continuous,500,pointbiserial,-0.10643058039459083,0.017281236807023974,neg,0.0,-0.10643058039459083,0.02333548757584296,Q1=1.00; Q2=1.11; Q3=0.78; Q4=0.58
14,Urea_Nitrogen,continuous,500,mwu,,0.024476376170617476,pos,0.0,0.02448880018486027,0.024476376170617476,Q1=1.00; Q2=1.38; Q3=1.21; Q4=1.84
15,Chloride,continuous,500,mwu,,0.030475552413112877,neg,0.0,-0.06848522075273529,0.030475552413112877,Q1=1.00; Q2=0.86; Q3=0.76; Q4=0.60
16,caclium,continuous,500,mwu,,0.044829657301066875,neg,0.0,-0.014349711756629746,0.044829657301066875,Q1=1.00; Q2=1.77; Q3=0.94; Q4=2.23
17,inr,continuous,500,mwu,,0.0634040363143287,neg,0.0,-0.008040769801979855,0.0634040363143287,Q1=1.00; Q2=0.76; Q3=0.55; Q4=0.70
18,Diabetes,binary,500,chi2,2.3522751465084317,0.12510030785420453,,0.0,,,
19,bicarbonate,continuous,500,pointbiserial,-0.0609406353177863,0.1736628439101414,neg,0.0,-0.0609406353177863,0.38199164990279777,Q1=1.00; Q2=0.60; Q3=0.55; Q4=0.78
20,resp_rate,continuous,500,mwu,,0.19297485878333298,pos,0.0,0.03724476635567287,0.19297485878333298,Q1=1.00; Q2=1.31; Q3=1.00; Q4=1.26
21,Hypertension,binary,500,chi2,1.469781354459615,0.22538019420789002,,0.0,,,
22,heart_rate,continuous,500,pointbiserial,0.05229116121179795,0.24315464649927326,pos,0.0,0.05229116121179795,0.3542199030492371,Q1=1.00; Q2=1.33; Q3=0.94; Q4=1.14
23,Malignancy,binary,500,chi2,1.191982292203209,0.2749300688596786,,0.0,,,
24,platelet,continuous,500,pointbiserial,-0.03943391441112558,0.37891107269595065,neg,0.0,-0.03943391441112558,0.4986000001324217,Q1=1.00; Q2=0.69; Q3=1.03; Q4=0.71
25,temperature,continuous,500,mwu,,0.4207697644944727,pos,0.0,0.013446466994927197,0.4207697644944727,Q1=1.00; Q2=1.32; Q3=1.54; Q4=1.35
26,Kidney_failure,binary,500,chi2,0.28804147797282864,0.5914783393593814,,0.0,,,
27,ARDS,binary,500,chi2,0.2284361206078191,0.6326858537700538,,0.0,,,
28,Solidtumors,binary,500,chi2,0.15230422845961583,0.6963430091535003,,0.0,,,
29,Potassium,continuous,500,pointbiserial,0.008638596264379928,0.8472056625403448,pos,0.0,0.008638596264379928,0.9639503807208283,Q1=1.00; Q2=1.21; Q3=1.39; Q4=1.08
30,Fatty_liver,binary,500,chi2,0.014526914570733634,0.9040651772500683,,0.0,,,
31,Ccoronaryheart_disease,binary,500,chi2,0.0,1.0,,0.0,,,
32,Hyperlipidaemia,binary,500,chi2,0.0,1.0,,0.0,,,
33,COPD,binary,500,chi2,0.0,1.0,,0.0,,,
34,Cirrhosis,binary,500,chi2,0.0,1.0,,0.0,,,
35,Hepatic_failure,binary,500,chi2,0.0,1.0,,0.0,,,
36,Acute_pancreatitis,binary,500,chi2,0.0,1.0,,0.0,,,
